Ranking,team_id,name,acronym,slug,region,elo
61,107760667929003738,Frank Esports,FAK,frank-esports,PCS,1284.3411770630569
62,105550054006182911,NONGSHIM ESPORTS ACADEMY,NS,ns-challengers,LCK Challengers,1283.4760692121583
63,99566408217955692,paiN Gaming,PNG,pain-gaming,CBLOL,1279.6097547069749
64,99566406332987990,The Chiefs,CHF,the-chiefs,LCO,1279.3407984106716
65,104841890701948065,Estral Esports,EST,estral-esports,LLA,1279.198930225264
66,98767991954244555,GAM Esports,GAM,gam-esports,VCS,1276.977754091234
67,101383793569248484,Astralis,AST,astralis,LEC,1275.69351637285
68,105553606349477427,Zero Tenacity,Z10,zero-tenacity,Ultraliga,1275.6834108045032
69,107597875833524424,Diamant Esports,DIA,diamant-esports,Esports Balkan League,1256.6849600185171
70,109800832177252614,Orbit Anonymo,OAE,szaty-bobra,Ultraliga,1247.770266431678
71,99566405130451785,Cloud9 Challengers,C9,c9-academy,LCS Challengers,1246.671304358728
72,105550033967461806,DRX Challengers,DRX,drx-challengers,LCK Challengers,1241.4249961691985
73,110428362822825796,Disguised,DSG,disguised,LCS Challengers,1240.9182765407281
74,105515219038427019,Karmine Corp,KC,karmine-corp,La Ligue Française,1237.5088847772083
75,99566408221961358,RED Kalunga,RED,red-kalunga,CBLOL,1229.594559152163
76,103935468920814040,Team GO,GO,gamersorigin,La Ligue Française,1226.106510321333
77,101428372605353526,Sengoku Gaming,SG,sengoku-gaming,LJL,1226.0073808578177
78,99566405124618295,Team Liquid Honda Challengers,TL,tl-academy,LCS Challengers,1222.4959820957502
79,107581284487120142,Six Karma,6K,six-karma,LLA,1221.315553444639
80,102787200136756173,Berlin International Gaming,BIG,berlin-international-gaming,Prime League,1217.3451307070568
81,98767991930907107,Immortals Progressive,IMT,immortals-progressive,LCS,1214.6796958262555
82,105594135137147298,White Dragons,WD,white-dragons,Liga Portuguesa,1213.3118978637872
83,108352305932141947,DSYRE,DSYR,dsyre,PG Nationals,1210.4595089000334
84,99566405126602853,FlyQuest Challengers,FLY,fly-academy,LCS Challengers,1209.907675002227
85,108361552741927561,Cincinnati Fear,FEAR,cincinnati-fear,LCS Challengers,1207.1965430973803
86,109674814051390025,Primate,PMT,primate,South Regional League,1204.4017240259348
87,103935530333072898,AGO Rogue,RGO,ago-rogue,Ultraliga,1201.3328486126015
88,103461966981927044,Dignitas Challengers,DIG,dig-academy,LCS Challengers,1200.6978448387147
89,107700204561086446,Deep Cross Gaming,DCG,deep-cross-gaming,PCS,1197.1748064325818
90,107467803833323099,Los Heretics,HRTS,team-heretics-sl,SuperLiga,1194.903164856638
91,108404211655217274,Partizan Esports,PAR,partizan-esports,Esports Balkan League,1189.3826121890997
92,105536643047197642,NASR ESPORTS,NASR,nasr-esports,TCL,1188.8230406625034
93,105520786527322647,KRC Genk Esports,GENK,krc-genk-esports,Elite Series,1188.6706472071544
94,102787200129022886,eSuba,ESB,esuba,Hitpoint Masters,1187.1298768419088
95,104710354840711661,Riddle Esports,RDL,riddle,NLC,1186.5928437753396
96,105520796734358045,Team 7AM,7AM,team-7am,Elite Series,1184.7708019466281
97,109696126554266494,Geekay Esports,GK,geekay-esports,Arabian League,1172.9140995363
98,109675484017801229,Team Bliss,TB,team-bliss,LCO,1172.0374936128803
99,99566408562477641,INFINITY,INF,infinity,LLA,1170.983212174096
100,99566406490127625,J Team,JT,taipei-j-team,PCS,1168.3699352985689
101,105550049871017396,kt Challengers,KT,kt-challengers,LCK Challengers,1168.3269058573733
102,107597870621708485,Cyber Wolves Esports,CWE,cyber-wolves-esports,Esports Balkan League,1167.8544531444818
103,106827832203113865,SHG Academy,SHG,shg-academy,LJL Academy,1166.986389268191
104,99566408358330419,Isurus,ISG,isurus,LLA,1166.4075958050742
105,109485335453835911,Vivo Keyd Stars Academy,VKS,vivo-keyd-stars-academy,CBLOL Academy,1166.2413155734419
106,107416483509696259,Eintracht Spandau,EINS,eintracht-spandau,Prime League,1163.3937194594673
107,109981650516317055,Mirage Alliance,MIR,mirage-alliance,LCS Challengers Qualifiers,1163.1678872813218
108,102787200151698443,Vitality.Bee,VITB,vitalitybee,La Ligue Française,1162.209780213873
109,107467834753797729,Bisons,BSO,bisons-eclub,SuperLiga,1161.3748128452055
110,103877675241047720,LDLC OL,LDLC,ldlc-ol,La Ligue Française,1160.9509700461142
111,109669678317817381,FUT ESPORTS,FUT,fut-team,TCL,1153.847475120932
112,109539776003058530,Alior Bank Team,AB,alior-bank-team,Ultraliga,1149.9506550477486
113,109642680932009857,Nord Esports,NORD,nord-esports,NLC,1144.1460767366518
114,103461966971048042,Evil Geniuses Challengers,EG,eg-academy,LCS Challengers,1144.1346434314928
115,106382545123328648,Dynamo Eclot,DNE,dynamo-eclot,Hitpoint Masters,1143.213390508904
116,105549998884468136,paiN Academy,PNG,pain-academy,CBLOL Academy,1141.7069670813544
117,105550047979361273,HLE Challengers,HLE,hle-challengers,LCK Challengers,1139.8517279640307
118,107423075317119707,X7,X7,x7,NLC,1137.3348613361998
119,109783023470714128,Team Tony Top,TONY,douyin-tony-top,LCS Challengers Qualifiers,1133.4939157920803
120,109695910533747910,RAAD,RAAD,raad,Arabian League,1130.9866121752164
121,107581765633427097,Fuego,FUE,fuego,North Regional League,1130.51928648805
122,107581689894520368,Bandits Gaming,BAN,bandits,North Regional League,1130.1222406075428
123,107581759470356115,Saprissa Esports,SAP,saprissa-esports,North Regional League,1128.3484775076593
124,107456994699991548,Atleta Esport,ATE,atleta-esport,PG Nationals,1127.4931664408261
125,99566408356697119,Furious Gaming,FG,furious-gaming,LLA,1127.1080300586893
126,107251231972989211,SBTC ESPORTS,SE,sbtc-esports,VCS,1125.6345434717746
127,99322214689444546,Schalke 04 Esports,S04,schalke-04,Prime League,1122.8577272959274
128,102787200132955066,FTW Esports,FTW,for-the-win-esports,Liga Portuguesa,1122.3365880055894
129,105520819263036609,The Agency,AGC,echo-zulu,Elite Series,1119.8118295316779
130,105519746234964687,Dusty,DY,dusty,NLC,1117.965972891201
131,105537149834356301,Anc Outplayed,OP,anc-outplayed,PG Nationals,1116.82636696895
132,109668849651338559,FENNEL,FL,fennel,LJL,1115.4629044591256
133,107450819235010833,BK ROG Esports,BKR,bkrog-gamerorigin,La Ligue Française,1112.990234230694
134,102787200126663579,Giants,GIA,giants,SuperLiga,1112.961652426405
135,109696092218588987,Nigma Galaxy,NGX,nigma-galaxy,Arabian League,1112.468547907916
136,99566406338282437,ORDER,ORD,order,LCO,1109.7505720608506
137,107598805167594304,Wap Esports,WAP,wap-esports,South Regional League,1108.662929545814
138,106827844148688268,SG Academy,SG,sg-academy,LJL Academy,1108.301365553035
139,108573042084687884,TEAM WHALES,TW,team-whales,VCS,1105.6352693977346
140,105549995617170853,KaBuM! Academy,KBM,kabum-academy,CBLOL Academy,1105.201620230935
141,106827827857159558,V3 Academy,V3,v3-academy,LJL Academy,1103.8427925357103
142,105913238372341488,Wildcard,WC,wildcard-gaming,LCS Challengers,1100.6677856826154
143,105549988405523871,Flamengo Academy,FLA,flamengo-academy,CBLOL Academy,1099.8563684058006
144,107251245690956393,Saigon Buffalo Esports,SGB,saigon-buffalo-esports,VCS,1098.5588699779576
145,103535282124208038,Pentanet.GG,PGG,pentanetgg,LCO,1097.299747875763
146,107422385694193066,Barça Esports,BAR,barca-esports,SuperLiga,1097.0989394300923
147,109523293035238887,Aegis,AEG,aegis,La Ligue Française,1096.7677593161234
148,107580497041999074,Team Ambition,TA,team-ambition,LCS Challengers Qualifiers,1093.6940822768454
149,99566406064558732,Papara SuperMassive ,SUP,papara-supermassive-blaze,TCL,1091.1438606306697
150,102787200120306562,Mousesports,MOUZ,mousesports,Prime League,1089.1605792493108
151,109696073114910519,Anubis Gaming,ANB,anubis-gaming,Arabian League,1089.1569342144126
152,107467827374313054,Finetwork KOI,FNK,finetwork-koi,SuperLiga,1088.0526586026906
153,107565477822627354,Verdant,VER,verdant,NLC,1086.6625007378234
154,99566405128626825,100 Thieves Challengers,100,100-academy,LCS Challengers,1086.3848617156198
155,105550005698683818,Liberty Academy,LBR,liberty-academy,CBLOL Academy,1085.4229841511917
156,100205576309502431,FURIA,FUR,furia,CBLOL,1082.9120706716276
157,105593182576105603,BRUTE,BRT,brute,Hitpoint Masters,1082.786856092239
158,107565493716773932,Nativz,NTZ,nativz,NLC,1082.7769159685972
159,99322214684939974,Unicorns of Love,UOL,unicorns-of-love,LCL,1079.8982654029269
160,99566405123587075,CLG Challengers,CLG,clg-academy,LCS Challengers,1079.6549086473583
161,107598878262940546,Malvinas Rise,MVG,malvinas-gaming,South Regional League,1078.909035409396
162,101422616509070746,Galatasaray Espor,GS,galatasaray-espor,TCL,1078.0874204377396
163,99566405129589291,Golden Guardians Challengers,GG,gg-academy,LCS Challengers,1077.5169817465385
164,107580483738977500,Winthrop University,WU,winthrop-university,LCS Challengers Qualifiers,1077.379331256201
165,102787200155434012,JD|XL,JDXL,jdxl,NLC,1077.2813729237666
166,107251295460371069,Team Secret,TS,team-secret,VCS,1076.7567014289752
167,105514907449611976,Team BDS Academy,BDSA,team-bds-academy,La Ligue Française,1075.6445586762327
168,101428372600307248,Rascal Jester,RJ,rascal-jester,LJL,1070.0437030193568
169,105521637552587612,Team Phantasma,TP,team-phantasma,Greek Legends League,1069.9533278572492
170,109480056092207899,FLUXO,FX,fluxo,CBLOL,1067.8258177987655
171,107564167676290839,Rebels,RBLS,rebels-gaming,SuperLiga,1065.5089283833415
172,109480204628225868,Los Grandes,LOS,los-grandes,CBLOL,1064.5184894975407
173,98767991921462763,Dire Wolves,DW,dire-wolves,LCO,1061.095246418142
174,104270958001747936,One Breath Gaming,OBG,one-breath-gaming,LCL,1060.6183628380747
175,108203154514683518,T1 Rookies,T1,t1-rookies,LCK Academy,1060.131122195512
176,108203164850614211,NS REDFORCE Academy,NS,ns-redforce-academy,LCK Academy,1057.9279379887141
177,102787200134790084,HMA Fnatic Rising,FNCR,hma-fnatic-rising,NLC,1056.993567359065
178,103935446548920777,Misfits Premier,MSFP,misfits-premier,La Ligue Française,1056.6103406911282
179,105515345386578249,Solary,SLY,solary,La Ligue Française,1056.1939188330798
180,107423109717243380,Bifrost,BFR,bifrost,NLC,1056.041644562318
181,107416342401528388,Maturalni Forsaken,MFSK,forsaken,Ultraliga,1055.2325088639946
182,108159917648031455,UST Esports,USTE,ust-esports,College Championship,1054.7529883393886
183,103963753080578719,CrowCrowd Moscow,CC,crowcrowd-moscow,LCL,1048.445015393621
184,98767991949608898,Fenerbahçe Espor,FB,fenerbahce-espor,TCL,1048.327294181513
185,109642690191894407,Ruddy Esports,RUD,ruddy-esports,NLC,1048.1184234277039
186,107467794614674479,FnaticTQ,FNTQ,fnatictq,SuperLiga,1047.8447537313775
187,105709099258505657,PEACE,PCE,peace,LCO,1047.7353882439775
188,105549993449477104,INTZ Academy,ITZ,intz-academy,CBLOL Academy,1045.9478307991997
189,104710678170825211,SINNERS Esports,SIN,sinners-esports,Hitpoint Masters,1045.3340622411158
190,102787200124959636,Crvena Zvezda Esports,CZV,crvena-zvezda-esports,Esports Balkan League,1044.6617900169654
191,99566406065437842,Dark Passage,DP,dark-passage,TCL,1044.0181947867384
192,104710316579222193,G2 Arctic,G2AR,g2-arctic,SuperLiga,1043.9364401957168
193,104710369093939895,SuppUp eSports,SSU,suppup-esports,Esports Balkan League,1043.6526858286813
194,108203159356403647,Kwangdong Freecs Academy,KDF,kwangdong-freecs-academy,LCK Academy,1042.8868556523769
195,110492173877838150,Eternal Fire,EF,eternal-fire,TCL,1038.6024481077493
196,99566406493155041,Machi Esports,MCX,machi-esports,PCS,1038.2890639887685
197,110733870612047344,Team Coachify,CFY,team-coachify,LCS Challengers Qualifiers,1037.3908924938519
198,109981644490281844,Rock Bottom Esports,ROCK,rock-bottom-esports,LCS Challengers Qualifiers,1035.713887243422
199,103935523328473675,K1CK Neosurf,K1,k1ck-neosurf,Ultraliga,1034.2511506874714
200,107179740624168899,HEET,HEET,heet,Elite Series,1033.5441381839328
201,110418022381234710,SPIKE Syndicate,SPK,spike-syndicate,Esports Balkan League,1033.4895122345686
202,99566408217116828,INTZ,ITZ,intz,CBLOL,1032.6145907085195
203,109485342651298305,FLUXO Academy,FX,fluxo-academy,CBLOL Academy,1032.5824286288175
204,107128093558481418,ZennIT,ZNT,zennit-gaming,Elite Series,1032.1713623500177
205,105520077508552574,Tricked Esport,TRC,tricked-esport,NLC,1031.9061578799758
206,105537444152141556,Herbalife Real Betis,BTS,herbalife-real-betis,SuperLiga,1031.5546233899463
207,106301891501674861,PDW,PDW,pdw,Ultraliga,1031.4143764340113
208,102141671183409133,Maryville University,MU,maryville-university,LCS Challengers,1031.0224885594798
209,107582157086477662,Descuydado Aucas Esports,DSC,descuydado-esports,North Regional League,1031.0187563966056
210,105549997263803379,LOUD Academy,LLL,loud-academy,CBLOL Academy,1030.9711254253868
211,110424394375218208,A One Man Army,AOMA,a-one-man-army,Elite Series,1030.6677306966756
212,99566408219409348,Vivo Keyd Stars,VKS,vivo-keyd,CBLOL,1029.7212257948995
213,105514967858969605,GameWard,GW,gameward,La Ligue Française,1029.3629292848927
214,105521674055625312,Gamespace Mediterranean College Esports,GSMC,gamespace-mediterranean-college-esports,Greek Legends League,1029.0521363917053
215,103878020539746273,EGN Esports,EGN,egn-esports,Liga Portuguesa,1028.5480240571678
216,105521408363571548,Illuminar Gaming,IHG,illuminar-gaming,Ultraliga,1026.8099979001586
217,106827839261303409,CGA  Academy,CGA,cga-academy,LJL Academy,1024.1681864383065
218,107251374793416561,CERBERUS ESPORTS,CES,cerberus-esports,VCS,1022.4492592704523
219,107574959289974368,Odivelas Sports Club,OSC,odivelas-sports-club,Liga Portuguesa,1021.2262448356574
220,109783149221216052,Lit Esports,LIT,lit-esports,LCS Challengers Qualifiers,1019.5307476169811
221,108159958519099117,Bay State College,BAY,bay-state-college,College Championship,1018.9193296908882
222,98767991871709842,Gambit Esports,GMB,gambit-esports,LCL,1017.9442693169516
223,106269818143576465,BOOM Esports,BME,boom-esports,PCS,1017.5023808713463
224,106857734387052095,AOE Gold,AOE,aoe-esports,LCS Challengers,1015.9045709555196
225,103461966975897718,Immortals Progressive Challengers,IMT,imt-academy,LCS Challengers,1015.8357478681095
226,105519977854458717,Nordavind,NVD,nordavind,NLC,1014.0386560627118
227,106371141659311452,Valiance PRO GAME,VPG,valiance-pro-game,Esports Balkan League,1013.3568058849999
228,106421708401759879,Black Star Gaming,BSGG,black-star-gaming,LCL,1012.9277592384382
229,108439036582886702,BWE Esports,BWE,byteway-esports,Liga Portuguesa,1012.5807644403669
230,110506938087991033,FL Academy,FL,fl-academy,LJL Academy,1011.9237974060367
231,105550001032913831,RED Academy,RED,red-academy,CBLOL Academy,1011.8361179541174
232,105593129376630217,Vikingekrig Esports,VIK,vikingekrig-esports,Hitpoint Masters,1011.4321275198357
233,108159968741268165,Converse University,CVU,converse-university,College Championship,1011.1995647274503
234,105594116005157262,OFFSET Esports,OFF7,offset-esports,Liga Portuguesa,1009.440840652863
235,106250732506012141,Umbra Divinus Gaming,UDGG,umbra-divinus-gaming,Greek Legends League,1008.5772642151574
236,106302593752767294,Miners Academy,NMG,netshoes-miners-academy,CBLOL Academy,1008.2897456220691
237,107581296208168309,Tomorrow Esports,TMR,tomorrow-esports,North Regional League,1008.2692331290718
238,104710373370426042,CR4ZY,C4,cr4zy,Esports Balkan League,1006.5983985250207
239,107456419134134246,Astralis Talent,ASTL,astralis-talent,NLC,1006.4054246990951
240,110733877357854829,Gentle Hearts Gaming,GHG,gentle-hearts-gaming,LCS Challengers Qualifiers,1005.5751854445904
241,105537226118106446,Axolotl Esports,AXL,axolotl,PG Nationals,1005.5674019085654
242,109783124183318312,University of St. Trevor,UST,university-of-st-trevor,LCS Challengers Qualifiers,1004.0238142203361
243,110733864366329081,Team E Turner,TET,team-e-turner,LCS Challengers Qualifiers,1003.8112502912973
244,104710343016706538,7more7 Pompa Team,PT7,7more7-pompa-team,Ultraliga,1002.5057667586427
245,109485351596724390,Los Grandes Academy,LOS,los-grandes-academy,CBLOL Academy,1002.5000561414363
246,105357803054359120,Bwipo Dream Team,BWI,bwipo-dream-team,All-Star Event,1002.4940037306484
247,98767991846127102,ahq eSports Club,AHQ,ahq-esports-club,PCS,1001.8649449261518
248,105554088239949229,x25 Esports,X25,x25-esports,Esports Balkan League,1001.5577820997262
249,103877879209300619,Vipers Inc,VIP,vipers-inc,EMEA Masters,1001.2559962693516
250,105193481874236222,LCL-All-Stars,LCL,lcl-all-stars,All-Star Event,1001.2529981519237
251,105193385417106233,LLA All-Stars,LLA,llaallstars,All-Star Event,1001.2529981519237
252,105351737774956843,LPL Legends,LPLL,lpl-legends,All-Star Event,1001.25
253,105301755072677196,LCK Queue Kings,LCKQ,lckqueuekings,All-Star Event,1001.25
254,105351835580819729,LCS Queue Kings,LCSQ,lcs-queue-kings,All-Star Event,1001.25
255,99124844354766222,PCS All-Stars,PCS1,pcs-all-stars,All-Star Event,1001.25
256,105193554293818475,LJL All-Stars,LJL,ljlallstars,All-Star Event,1001.25
257,105301786369976273,LEC Legends,LECL,leclegends,All-Star Event,1001.25
258,105193571520283762,OPL All-Stars,OPLO,opl-all-stars,All-Star Event,1001.2470018480763
259,105301877841257613,VCS All Stars,VCS,vcs-all-stars,All-Star Event,1001.2470018480763
260,102787200145472495,Defusekids,DKI,defusekids,EMEA Masters,1001.2440324950659
261,98767991959203254,Team oNe e-Sports,ONEE,team-one-e-sports,CBLOL,1001.2127635738985
262,105536952747658409,MKERS,MKS,mkers,PG Nationals,1001.1851477296101
263,108160026618060825,UCI Esports,UCI,uci-esports,College Championship,1000.1601281909213
264,103743162394217975,Santos HotForex,SAN,santos-hotforex,CBLOL,1000.0119980638482
265,99124844353216570,LCK All-Stars,LCK,lck-allstars,All-Star Event,999.9970018825721
266,99124844358677975,LEC All-Stars,LEC,eu-lcs-allstars,All-Star Event,999.9970018480763
267,99124844355850858,LCS All-Stars,LCSS,lcs-all-stars,All-Star Event,999.9970018480763
268,109783130654973406,Godel Gamers,GODL,godel-gamers,LCS Challengers Qualifiers,999.9913469318033
269,106295024192678387,Gaia Esports,GAIA,gaia-esports,PG Nationals,998.9833124725479
270,108078422885368642,Panathinaikos Esports,PAO,panathinaikos-esports,Greek Legends League,998.8070051030121
271,103877756742242918,Racoon,RCN,racoon,EMEA Masters,998.7648758418111
272,105351724613755142,LPL Queue Kings,LPLQ,lpl-queue-kings,All-Star Event,998.75
273,105301791701328923,LEC Queue Kings,LECQ,lecqueuekings,All-Star Event,998.75
274,99124844361058275,CBLOL All-Stars,BR,all-stars-cblol,All-Star Event,998.75
275,105352091319919029,LCS Legends,LCSL,lcs-legends,All-Star Event,998.75
276,105301773561628001,LCK Legends,LCKL,lcklegends,All-Star Event,998.75
277,99124844362174905,TCL All-Stars,TCL,all-stars-tur,All-Star Event,998.75
278,99566405944694628,Pixel Esports Club,PIX,pixel-esports-club,LLA,998.7293140115925
279,109981647134921596,CCG Esports,CCG,ccg-esports,LCS Challengers Qualifiers,998.486130838146
280,105519562229907355,Barrage Esports,BRG,barrage-esports,NLC,998.3324671669662
281,106302119383559530,Galaxy Racer,GXR,galaxy-racer,NLC,997.5563587601056
282,103877774634323825,YDN Gamers,YDN,ydn-gamers,EMEA Masters,997.5356765350584
283,107251307514079872,LXE ESPORTS,LX,lxe-esports,VCS,997.5356493906411
284,103877976717529187,Intrepid Fox Gaming,IF,intrepid-fox-gaming,EMEA Masters,997.5119493935589
285,105357804699574324,CoreJJ Dream Team,CJJ,corejj-dream-team,All-Star Event,997.5059962693516
286,105536738266035235,Cyberground Gaming,CGG,cyberground-gaming,PG Nationals,997.0330864288215
287,106250729133367861,Olympiacos Alimou esports,GOAL,olympiacos-alimou-esports,Greek Legends League,996.7738849895014
288,108159996371573462,Maryville University,MU,maryville-university,College Championship,996.7734442868752
289,107251941920386009,BTS ESPORTS,SKY,bts-esports,VCS,995.4316374664503
290,99124844356912967,LPL All-Stars,LPL,lpl-allstars,All-Star Event,995.0089944212754
291,98767991897792379,Hong Kong Attitude,HKA,hong-kong-attitude,PCS,994.7124685990154
292,99566406334639907,Legacy Esports,LGC,legacy-esports,LCO,993.8765509464293
293,99566408561605102,XTEN Esports,XTN,xten-esports,LLA,993.4495978221759
294,102141671181705193,Michigan State University,MSU,michigan-state-university,College Championship,992.5809376855926
295,102141671185899507,University of Western Ontario,UWO,university-of-western-ontario,College Championship,992.5809376855926
296,105550059790656435,T1 Esports Academy,T1,t1-challengers,LCK Challengers,992.5728049743201
297,102825747701670848,Azules Esports,UCH,azules-esports,LLA,992.5626269514106
298,103877554248683116,Schalke 04 Evolution,S04E,schalke-04-evolution,Prime League,991.7416918446291
299,106269859169658575,Impunity Esports,IMP,impunity-esports,PCS,991.5819981089073
300,104710383210356454,LowLandLions,LION,lowlandlions,Elite Series,991.5015649895145
301,102787200159169580,Godsent,GOD,godsent,NLC,991.0449394788059
302,105521402545275594,Gentlemen's Gaming,GGM,gentlemens-gaming,Ultraliga,990.176481329164
303,105536980594429116,Romulea eSport,RML,romulea-esport,PG Nationals,990.0846486286495
304,105520713962793016,Granit Gaming,GRNT,granit-gaming,NLC,990.059954316304
305,100289931264192378,Team Spirit,TSPT,team-spirit,LCL,990.0572908703682
306,104367099322647716,Liyab Esports,LYB,liyab-esports,PCS,989.0785356932514
307,101383793195758800,Redemption Porto Alegre,RDP,redemption-esports,CBLOL,989.0337906684924
308,105521451717484016,Hive Athens EC,HIVE,hive-athens-ec,Greek Legends League,988.9882780015284
309,106222632206917342,Resolve,RSV,resolve,NLC,988.4766540166205
310,107582618156093368,Incubus,INC,incubus,LLA,988.3612936202603
311,109782787975510889,Native Gaming,N8V,native-gaming,LCS Challengers Qualifiers,988.0672376916917
312,106334794714373670,Goexanimo,GOEX,goexanimo,EMEA Masters,986.1132188705669
313,105520824521753126,PSV Esports,PSV,psv-esports,EMEA Masters,986.0172788184424
314,99566405127798575,TSM Challengers,TSM,tsm-academy,LCS Challengers,985.8961677882286
315,105549991104165282,FURIA Academy,FUR,furia-academy,CBLOL Academy,985.7822589347734
316,105549984475833252,Cruzeiro Academy,CRZA,cruzeiro-academy,CBLOL Academy,985.4002586013556
317,109692071893352727,Hell Pigs,HPS,hell-pigs,PCS,985.2379478654694
318,110534728305628996,Kelyx's Grandpa Gamers,OLD,kelyxs-grandpa-gamers,LCS Challengers Qualifiers,985.0475080043694
319,110534749775658790,The Cheese Chasers,NPC,the-cheese-chasers,LCS Challengers Qualifiers,984.9260638605223
320,106806773698472633,Team Aze,AZE,team-aze,LLA,983.9819444039668
